t,X,Y,Z
3.800000000000000044e-01,1.830948703919393594e+01,2.699764541898246151e+01,3.208879531484786440e+01
3.900000000000000133e-01,1.907426901926520557e+01,2.558770958908099047e+01,3.610975063686787934e+01
4.000000000000000222e-01,1.959434785106059351e+01,2.340250954079789736e+01,3.984872940590533830e+01
4.100000000000000311e-01,1.982208112655477805e+01,2.051430193572705107e+01,4.308483777848168472e+01
4.199999999999999845e-01,1.972514260165826272e+01,1.707462075290268189e+01,4.562956249592105706e+01
4.299999999999999933e-01,1.929187584930267718e+01,1.329627780402832826e+01,4.735940803513874897e+01
4.400000000000000022e-01,1.853365822790455297e+01,9.420566101321133701e+00,4.823612070747108049e+01
4.500000000000000111e-01,1.748355671670954337e+01,5.678748722580532871e+00,4.830814674411296039e+01
4.600000000000000200e-01,1.619162687504151066e+01,2.258953560492320545e+00,4.769382276155101152e+01
4.700000000000000289e-01,1.471812452305338859e+01,-7.133138811216284125e-01,4.655309979398792564e+01
4.799999999999999822e-01,1.312628569641381304e+01,-3.178717568308758512e+00,4.505722026716141215e+01
4.899999999999999911e-01,1.147611318962238514e+01,-5.134875768529497009e+00,4.336415058362538844e+01
5.000000000000000000e-01,9.820010346015873637e+00,-6.620321903135006458e+00,4.160357464091472224e+01
5.100000000000000089e-01,8.200448457232015542e+00,-7.697367111620047275e+00,3.987133580421473766e+01
5.200000000000000178e-01,6.649378022234274432e+00,-8.437645669712004803e+00,3.823086576787378021e+01
5.300000000000000266e-01,5.188871420181071059e+00,-8.911902312024629680e+00,3.671852472053704020e+01
5.400000000000000355e-01,3.832469678681383662e+00,-9.183956087553095671e+00,3.535028795909941124e+01
5.500000000000000444e-01,2.586807970889115627e+00,-9.307955404878420325e+00,3.412812974030935464e+01
5.600000000000000533e-01,1.453232595789584636e+00,-9.327840747926609666e+00,3.304530059253097107e+01
5.700000000000000622e-01,4.292474739905351999e-01,-9.278073854616200933e+00,3.209028068363665653e+01
5.799999999999999600e-01,-4.902790722305786497e-01,-9.184952239942701269e+00,3.124951535659533519e+01
5.899999999999999689e-01,-1.312157585079926747e+00,-9.068079691681948162e+00,3.050917107010241835e+01
5.999999999999999778e-01,-2.044149151663468000e+00,-8.941756943853734541e+00,2.985616973335461566e+01
6.099999999999999867e-01,-2.694430206430356023e+00,-8.816185862296572751e+00,2.927872619804026755e+01
6.199999999999999956e-01,-3.271212433468504432e+00,-8.698457163759737654e+00,2.876656357498567829e+01
6.300000000000000044e-01,-3.782482688557738726e+00,-8.593331911457669392e+00,2.831093234288627158e+01
6.400000000000000133e-01,-4.235833158312624747e+00,-8.503844553829550179e+00,2.790451911821672226e+01
6.500000000000000222e-01,-4.638357752189151917e+00,-8.431760007218048969e+00,2.754130084673508350e+01
6.600000000000000311e-01,-4.996596052636141039e+00,-8.377915600860195156e+00,2.721637890733861198e+01
6.700000000000000400e-01,-5.316510659949159390e+00,-8.342474355488308291e+00,2.692581326434324751e+01
6.800000000000000488e-01,-5.603487394293165558e+00,-8.325111076802510723e+00,2.666646748215333673e+01
6.900000000000000577e-01,-5.862350634327444965e+00,-8.325148085060551040e+00,2.643586958288900846e+01
7.000000000000000666e-01,-6.097388210184314872e+00,-8.341653454496986697e+00,2.623209022659737144e+01
7.099999999999999645e-01,-6.312381865960582594e+00,-8.373511477283891224e+00,2.605363770650432897e+01
7.199999999999999734e-01,-6.510640487422977962e+00,-8.419472630635764787e+00,2.589936822065464028e+01
7.299999999999999822e-01,-6.695034157265866703e+00,-8.478188494561338828e+00,2.576840943719347976e+01
7.399999999999999911e-01,-6.868027734338788548e+00,-8.548235716423175035e+00,2.566009527507911159e+01
7.500000000000000000e-01,-7.031713116978301592e+00,-8.628132134128279063e+00,2.557390992463239598e+01
7.600000000000000089e-01,-7.187839690385553482e+00,-8.716347458851879892e+00,2.550943934020540382e+01
7.700000000000000178e-01,-7.337842707964034261e+00,-8.811310406509804238e+00,2.546632869479342176e+01
7.800000000000000266e-01,-7.482869541288054371e+00,-8.911413797480108201e+00,2.544424456155231340e+01
7.900000000000000355e-01,-7.623803870422411144e+00,-9.015018872701073605e+00,2.544284086231941444e+01
8.000000000000000444e-01,-7.761287987879463834e+00,-9.120459868074831888e+00,2.546172788928922159e+01
8.100000000000000533e-01,-7.895743463880771529e+00,-9.226049722731918479e+00,2.550044395847129408e+01
8.200000000000000622e-01,-8.027390473177501207e+00,-9.330087650605570104e+00,2.555842948995333686e+01
8.300000000000000711e-01,-8.156266117715592401e+00,-9.430869163774522335e+00,2.563500352808185312e+01
