t,X,Y,Z
7.299999999999999822e-01,-6.692015052134090425e+00,-8.476954665434336178e+00,2.576425375236148341e+01
7.399999999999999911e-01,-6.865189645456346135e+00,-8.547235203754224742e+00,2.565572816301033043e+01
7.500000000000000000e-01,-7.029061988308315634e+00,-8.627384738591500124e+00,2.556936519102626093e+01
7.600000000000000089e-01,-7.185382723602810273e+00,-8.715871664845481703e+00,2.550475271399129795e+01
7.700000000000000178e-01,-7.335588100637431275e+00,-8.811123031955576224e+00,2.546153789215147256e+01
7.800000000000000266e-01,-7.480826216113901417e+00,-8.911529631589809597e+00,2.543938929591471876e+01
7.900000000000000355e-01,-7.621981195008479482e+00,-9.015450298031785437e+00,2.543796279403189686e+01
8.000000000000000444e-01,-7.759695484452556968e+00,-9.121216466824213498e+00,2.545687050757799241e+01
8.100000000000000533e-01,-7.894390508522896255e+00,-9.227137870896299887e+00,2.549565238786675536e+01
8.200000000000000622e-01,-8.026285984757125291e+00,-9.331510107326037584e+00,2.555375021349314935e+01
8.300000000000000711e-01,-8.155418237539775461e+00,-9.432624666862833962e+00,2.563048402056766406e+01
8.399999999999999689e-01,-8.281657860907685631e+00,-9.528781870730249182e+00,2.572503117782508042e+01
8.499999999999999778e-01,-8.404727084353366351e+00,-9.618306996631902805e+00,2.583640849015015917e+01
8.599999999999999867e-01,-8.524217179715655845e+00,-9.699569693119936886e+00,2.596345785398888140e+01
8.699999999999999956e-01,-8.639606214781434090e+00,-9.771006576882859562e+00,2.610483608843248859e+01
8.800000000000000044e-01,-8.750277409392234418e+00,-9.831146683282057097e+00,2.625900961784983068e+01
8.900000000000000133e-01,-8.855538282717574816e+00,-9.878639203055602280e+00,2.642425467715381160e+01
9.000000000000000222e-01,-8.954640696802846023e+00,-9.912282698314328400e+00,2.659866364170142106e+01
9.100000000000000311e-01,-9.046801803550769350e+00,-9.931054763686635312e+00,2.678015794574616137e+01
9.200000000000000400e-01,-9.131225793374115440e+00,-9.934140901965161419e+00,2.696650784587963301e+01
9.300000000000000488e-01,-9.207126228803634405e+00,-9.920961238051468456e+00,2.715535901432736665e+01
9.400000000000000577e-01,-9.273748631754328287e+00,-9.891193620503580419e+00,2.734426562334567024e+01
9.500000000000000666e-01,-9.330392886553271481e+00,-9.844791674131471382e+00,2.753072922539510614e+01
9.599999999999999645e-01,-9.376434930535067380e+00,-9.781996482145661531e+00,2.771224236977161937e+01
9.699999999999999734e-01,-9.411347138354400954e+00,-9.703340796773114008e+00,2.788633555524221208e+01
9.799999999999999822e-01,-9.434716772650686423e+00,-9.609644997595887972e+00,2.805062583227992334e+01
9.899999999999999911e-01,-9.446261878080001395e+00,-9.502004420931083217e+00,2.820286516856289794e+01
1.000000000000000000e+00,-9.445844041156403748e+00,-9.381768144791781339e+00,2.834098660296279704e+01
1.010000000000000009e+00,-9.433477524715909723e+00,-9.250509797410463975e+00,2.846314625271841692e+01
1.020000000000000018e+00,-9.409334409442299929e+00,-9.109991423062828275e+00,2.856775941041345490e+01
